Set Number,Name,Price,Pieces,Minimum Age,Theme,Height (cm),Width (cm),Length (cm)
40539,Ahsoka Tano,9.99,164,10,BrickHeadz,9,5,7
40632,Aragorn & Arwen,19.99,261,10,BrickHeadz,8,6,6
41585,Batman,9.99,91,10,BrickHeadz,7,5,5
10281,Bonsai Tree,49.99,878,18,AdultsWelcome,18,20,21
853795,Butterfly Girl Keychain,5.99,1,6,Minifigures,2.5,2.5,1
854064,Captain Marvel Keychain,5.99,1,6,Minifigures,3,2,1
75978,Diagon Alley,399.99,5544,16,AdultsWelcome,29,102,13
21052,Dubai,59.99,740,16,Architecture,33,27,7
75886,Ferrari 488 GT3 Scuderia Corsa,14.99,179,7,SpeedChampion,5,6,17
75889,Ferrari Ultimate Garage,99.99,841,8,SpeedChampion,7.8,54,28.2
10280,Flower Bouquet,49.99,756,18,AdultsWelcome,36,24,25
75885,Ford Fiesta M-Sport WRC,14.99,203,7,SpeedChampion,5,6,13
40631,Gandalf the Grey & Balrog,19.99,348,10,BrickHeadz,9,7,6
21323,Grand Piano,349.99,3662,18,AdultsWelcome,22.5,30.5,35.5
854115,Hermione Keychain,5.99,1,6,Minifigures,2.5,2,1
854157,Lady Bug Girl Keychain,5.99,1,6,Minifigures,3,2.5,1
854081,Llama Girl Keychain,5.99,1,6,Minifigures,3.5,2,1
40547,Obi-Wan Kenobi & Darth Vader,19.99,260,10,BrickHeadz,8,6,9
10311,Orchid,49.99,608,18,AdultsWelcome,39,30,24
41602,Rey,9.99,119,10,BrickHeadz,8,4,6
853603,Rey keychain,4.99,1,6,Minifigures,3,2,1
75879,Scuderia Ferrari SF16-H,14.99,184,7,SpeedChampion,5,6,14
21313,Ship in a Bottle,69.99,962,12,AdultsWelcome,10,31,10
80107,Spring Lantern Festival,119.99,1793,8,AdultsWelcome,19,38,25
40543,St. Bernard,14.99,236,8,BrickHeadz,8,8,6
853946,Stormtrooper Keychain,5.99,1,6,Minifigures,3,2,1
41598,The Flash,9.99,122,10,BrickHeadz,8,4,5
75317,The Mandalorian & the Child,19.99,295,10,BrickHeadz,8,5,6
21051,Tokyo,59.99,547,16,Architecture,28,27,10
40615,Tusken Raider,9.99,152,10,BrickHeadz,8,5,5
21327,Typewriter,199.99,2079,18,AdultsWelcome,11,27,26
21326,Winnie the Pooh,99.99,1265,18,AdultsWelcome,24,18,22
41599,Wonder Woman,9.99,143,10,BrickHeadz,8,4,5
853433,Wonder Woman Keychain,5.99,1,6,Minifigures,3,2,1
